watch_id,bt_device,TIR,RSSI
192.168.245.41,GHBP,19,967
192.168.245.41,0XVM,6,318
192.168.245.41,0WEY,13,734
192.168.245.41,10PW,16,894
192.168.245.41,0XYP,8,412
192.168.245.41,0T3P,7,388
192.168.245.41,0MHL,6,326
192.168.245.41,3LQF,2,132
192.168.245.52,B17X,6,300
192.168.245.52,0YRJ,17,884
192.168.245.52,0SEK,4,172
192.168.245.52,486A,6,308
192.168.245.52,48CT,10,510
192.168.245.52,B0SM,9,436
192.168.245.52,0M2P,6,296
192.168.245.52,0S0P,13,690
192.168.245.52,0T3P,13,693
192.168.245.52,B0VD,12,664
192.168.245.52,0WCE,13,658
192.168.245.52,B0YJ,14,700
192.168.245.52,0MVY,2,90
192.168.245.52,10PW,19,1187
192.168.245.52,0Y0H,9,443
192.168.245.52,0XVM,8,422
192.168.245.52,0WEY,12,628
192.168.245.52,GHBP,6,294
192.168.245.52,0XFJ,7,347
192.168.245.52,0XYP,7,396
192.168.245.53,0S0P,27,1393
192.168.245.53,B17X,41,2338
192.168.245.53,0XYP,27,1450
192.168.245.53,0YRJ,25,1384
192.168.245.53,0WCE,31,1592
192.168.245.53,3LQF,12,760
192.168.245.53,0MVY,30,1652
192.168.245.53,B0YJ,56,2896
192.168.245.53,0MHL,38,1986
192.168.245.53,48CT,40,2226
192.168.245.53,0T3P,38,2228
192.168.245.53,0XVM,36,1940
192.168.245.53,B0SM,32,1614
192.168.245.53,0WEY,36,1950
192.168.245.53,0SEK,32,1664
192.168.245.53,B0VD,32,1772
192.168.245.53,0M2P,22,1160
192.168.245.53,10PW,34,1658
192.168.245.53,0XFJ,24,1280
192.168.245.53,0RHZ,32,1718
192.168.245.53,GHBP,38,2098
192.168.245.53,0Y0H,34,1938
192.168.245.59,0YRJ,19,1086
192.168.245.59,B0VD,17,868
192.168.245.59,B0YJ,26,1411
192.168.245.59,B17X,13,780
192.168.245.59,0SEK,7,393
192.168.245.59,3LQF,7,359
192.168.245.59,B0SM,18,970
192.168.245.59,0WCE,14,926
192.168.245.59,0XYP,18,952
192.168.245.59,0Y0H,18,1122
192.168.245.59,0XVM,22,1300
192.168.245.59,0WEY,12,634
192.168.245.59,48CT,14,740
192.168.245.59,0XFJ,4,196
192.168.245.59,0RHZ,12,636
192.168.245.59,0S0P,14,814
192.168.245.59,0MHL,16,848
192.168.245.59,486A,8,430
192.168.245.59,0T3P,14,802
192.168.245.59,10PW,14,746
192.168.245.59,0M2P,12,614
192.168.245.59,0MVY,12,588
192.168.245.71,B0VD,45,2481
192.168.245.71,0M2P,33,1874
192.168.245.71,0RHZ,39,2151
192.168.245.71,0MVY,25,1381
192.168.245.71,0YRJ,52,2902
192.168.245.71,0S0P,41,2117
192.168.245.71,B0YJ,51,2715
192.168.245.71,0WEY,49,2974
192.168.245.71,0MHL,30,1938
192.168.245.71,0WCE,41,2352
192.168.245.71,48CT,38,2054
192.168.245.71,B0SM,36,1892
192.168.245.71,486A,26,1354
192.168.245.71,0XYP,31,1630
192.168.245.71,GHBP,37,2001
192.168.245.71,B17X,32,1732
192.168.245.71,0SEK,33,1643
192.168.245.71,0XVM,34,1916
192.168.245.71,0XFJ,28,1472
192.168.245.71,10PW,46,2396
192.168.245.71,3LQF,10,458
192.168.245.71,0T3P,42,2338
192.168.245.80,486A,35,1841
192.168.245.80,0RHZ,47,2293
192.168.245.80,B0SM,30,1546
192.168.245.80,B0YJ,85,4286
192.168.245.80,0T3P,49,2416
192.168.245.80,0WEY,51,2519
192.168.245.80,0Y0H,45,2272
192.168.245.80,B17X,52,2614
192.168.245.80,0XVM,38,1760
192.168.245.80,0YRJ,64,3280
192.168.245.80,0M2P,52,2428
192.168.245.80,0WCE,24,1150
192.168.245.80,48CT,50,2648
192.168.245.80,0XYP,60,3428
192.168.245.80,3LQF,12,564
192.168.245.80,0S0P,38,1976
192.168.245.80,0MVY,14,724
192.168.245.80,B0VD,48,2488
192.168.245.80,10PW,48,2222
192.168.245.80,0MHL,22,1006
192.168.245.80,GHBP,30,1362
192.168.245.80,0SEK,46,2352
